Train_Algorithm,Train_XY_ID,Ratings_Algorithm_ID,Parameters_And_Results,Year_Begin_Predict,Year_End_Predict,Week_Begin_Predict,Week_End_Predict,Num_Games,Win_Correct,Win_Correct_Fraction,Num_Games_No_Push,Spread_Correct,Spread_Correct_Fraction
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1:alpha=1000.0:r2=0.737:seed=17,2013,2013,1,1,16,9,0.562,15,8,0.533
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1:alpha=1000.0:r2=0.737:seed=17,2014,2014,1,1,16,10,0.625,14,12,0.857
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1:alpha=1000.0:r2=0.737:seed=17,2015,2015,1,1,16,12,0.75,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1:alpha=1000.0:r2=0.737:seed=17,2016,2016,1,1,16,12,0.75,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1:alpha=1000.0:r2=0.737:seed=17,2017,2017,1,1,15,8,0.533,14,9,0.643
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2:alpha=1000.0:r2=0.72:seed=17,2013,2013,2,2,16,10,0.625,15,13,0.867
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2:alpha=1000.0:r2=0.72:seed=17,2014,2014,2,2,16,4,0.25,14,7,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2:alpha=1000.0:r2=0.72:seed=17,2015,2015,2,2,16,9,0.562,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2:alpha=1000.0:r2=0.72:seed=17,2016,2016,2,2,16,7,0.438,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2:alpha=1000.0:r2=0.72:seed=17,2017,2017,2,2,16,5,0.312,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3:alpha=1000.0:r2=0.822:seed=17,2013,2013,3,3,16,10,0.625,15,8,0.533
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3:alpha=1000.0:r2=0.822:seed=17,2014,2014,3,3,16,10,0.625,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3:alpha=1000.0:r2=0.822:seed=17,2015,2015,3,3,16,8,0.5,15,8,0.533
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3:alpha=1000.0:r2=0.822:seed=17,2016,2016,3,3,16,6,0.375,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3:alpha=1000.0:r2=0.822:seed=17,2017,2017,3,3,16,6,0.375,15,5,0.333
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4:alpha=1000.0:r2=0.859:seed=17,2013,2013,4,4,15,11,0.733,14,13,0.929
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4:alpha=1000.0:r2=0.859:seed=17,2014,2014,4,4,13,6,0.462,12,6,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4:alpha=1000.0:r2=0.859:seed=17,2015,2015,4,4,15,9,0.6,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4:alpha=1000.0:r2=0.859:seed=17,2016,2016,4,4,15,9,0.6,13,9,0.692
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4:alpha=1000.0:r2=0.859:seed=17,2017,2017,4,4,16,8,0.5,13,9,0.692
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5:alpha=1000.0:r2=0.807:seed=17,2013,2013,5,5,14,4,0.286,13,6,0.462
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5:alpha=1000.0:r2=0.807:seed=17,2014,2014,5,5,15,10,0.667,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5:alpha=1000.0:r2=0.807:seed=17,2015,2015,5,5,14,8,0.571,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5:alpha=1000.0:r2=0.807:seed=17,2016,2016,5,5,14,8,0.571,13,8,0.615
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5:alpha=1000.0:r2=0.807:seed=17,2017,2017,5,5,14,7,0.5,13,9,0.692
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6:alpha=1000.0:r2=0.826:seed=17,2013,2013,6,6,15,5,0.333,14,7,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6:alpha=1000.0:r2=0.826:seed=17,2014,2014,6,6,15,7,0.467,14,10,0.714
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6:alpha=1000.0:r2=0.826:seed=17,2015,2015,6,6,14,9,0.643,13,12,0.923
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6:alpha=1000.0:r2=0.826:seed=17,2016,2016,6,6,15,10,0.667,14,10,0.714
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6:alpha=1000.0:r2=0.826:seed=17,2017,2017,6,6,14,5,0.357,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7:alpha=1000.0:r2=0.821:seed=17,2013,2013,7,7,15,7,0.467,12,6,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7:alpha=1000.0:r2=0.821:seed=17,2014,2014,7,7,15,9,0.6,13,12,0.923
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7:alpha=1000.0:r2=0.821:seed=17,2015,2015,7,7,14,6,0.429,13,7,0.538
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7:alpha=1000.0:r2=0.821:seed=17,2016,2016,7,7,15,8,0.533,14,10,0.714
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7:alpha=1000.0:r2=0.821:seed=17,2017,2017,7,7,15,6,0.4,14,7,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8:alpha=1000.0:r2=0.869:seed=17,2013,2013,8,8,13,8,0.615,12,11,0.917
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8:alpha=1000.0:r2=0.869:seed=17,2014,2014,8,8,15,8,0.533,13,8,0.615
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8:alpha=1000.0:r2=0.869:seed=17,2015,2015,8,8,14,9,0.643,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8:alpha=1000.0:r2=0.869:seed=17,2016,2016,8,8,13,5,0.385,12,6,0.5
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8:alpha=1000.0:r2=0.869:seed=17,2017,2017,8,8,13,6,0.462,12,7,0.583
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9:alpha=1000.0:r2=0.768:seed=17,2013,2013,9,9,13,6,0.462,12,8,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9:alpha=1000.0:r2=0.768:seed=17,2014,2014,9,9,13,5,0.385,12,9,0.75
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9:alpha=1000.0:r2=0.768:seed=17,2015,2015,9,9,13,3,0.231,12,10,0.833
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9:alpha=1000.0:r2=0.768:seed=17,2016,2016,9,9,13,8,0.615,12,8,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9:alpha=1000.0:r2=0.768:seed=17,2017,2017,9,9,13,5,0.385,10,6,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10:alpha=1000.0:r2=0.847:seed=17,2013,2013,10,10,14,8,0.571,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10:alpha=1000.0:r2=0.847:seed=17,2014,2014,10,10,13,9,0.692,12,10,0.833
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10:alpha=1000.0:r2=0.847:seed=17,2015,2015,10,10,14,7,0.5,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10:alpha=1000.0:r2=0.847:seed=17,2016,2016,10,10,14,9,0.643,10,8,0.8
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10:alpha=1000.0:r2=0.847:seed=17,2017,2017,10,10,14,9,0.643,13,9,0.692
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11:alpha=1000.0:r2=0.808:seed=17,2013,2013,11,11,15,5,0.333,14,8,0.571
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11:alpha=1000.0:r2=0.808:seed=17,2014,2014,11,11,14,9,0.643,13,8,0.615
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11:alpha=1000.0:r2=0.808:seed=17,2015,2015,11,11,14,9,0.643,13,8,0.615
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11:alpha=1000.0:r2=0.808:seed=17,2016,2016,11,11,14,9,0.643,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11:alpha=1000.0:r2=0.808:seed=17,2017,2017,11,11,14,8,0.571,13,10,0.769
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12:alpha=1000.0:r2=0.726:seed=17,2013,2013,12,12,14,9,0.643,12,11,0.917
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12:alpha=1000.0:r2=0.726:seed=17,2014,2014,12,12,15,8,0.533,14,13,0.929
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12:alpha=1000.0:r2=0.726:seed=17,2015,2015,12,12,16,8,0.5,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12:alpha=1000.0:r2=0.726:seed=17,2016,2016,12,12,16,9,0.562,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12:alpha=1000.0:r2=0.726:seed=17,2017,2017,12,12,16,11,0.688,15,15,1.0
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13:alpha=1000.0:r2=0.759:seed=17,2013,2013,13,13,16,10,0.625,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13:alpha=1000.0:r2=0.759:seed=17,2014,2014,13,13,16,9,0.562,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13:alpha=1000.0:r2=0.759:seed=17,2015,2015,13,13,16,9,0.562,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13:alpha=1000.0:r2=0.759:seed=17,2016,2016,13,13,15,7,0.467,14,9,0.643
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13:alpha=1000.0:r2=0.759:seed=17,2017,2017,13,13,16,10,0.625,15,13,0.867
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14:alpha=1000.0:r2=0.797:seed=17,2013,2013,14,14,16,13,0.812,15,13,0.867
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14:alpha=1000.0:r2=0.797:seed=17,2014,2014,14,14,16,10,0.625,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14:alpha=1000.0:r2=0.797:seed=17,2015,2015,14,14,16,9,0.562,15,12,0.8
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14:alpha=1000.0:r2=0.797:seed=17,2016,2016,14,14,16,9,0.562,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14:alpha=1000.0:r2=0.797:seed=17,2017,2017,14,14,16,11,0.688,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15:alpha=1000.0:r2=0.753:seed=17,2013,2013,15,15,16,7,0.438,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15:alpha=1000.0:r2=0.753:seed=17,2014,2014,15,15,16,10,0.625,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15:alpha=1000.0:r2=0.753:seed=17,2015,2015,15,15,16,6,0.375,15,8,0.533
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15:alpha=1000.0:r2=0.753:seed=17,2016,2016,15,15,16,6,0.375,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15:alpha=1000.0:r2=0.753:seed=17,2017,2017,15,15,16,11,0.688,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16:alpha=1000.0:r2=0.756:seed=17,2013,2013,16,16,16,6,0.375,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16:alpha=1000.0:r2=0.756:seed=17,2014,2014,16,16,16,11,0.688,15,9,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16:alpha=1000.0:r2=0.756:seed=17,2015,2015,16,16,16,9,0.562,15,10,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16:alpha=1000.0:r2=0.756:seed=17,2016,2016,16,16,16,10,0.625,15,11,0.733
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16:alpha=1000.0:r2=0.756:seed=17,2017,2017,16,16,16,11,0.688,15,12,0.8
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-21:alpha=1000.0:r2=0.57:seed=17,2013,2013,17,21,27,16,0.593,25,22,0.88
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-21:alpha=1000.0:r2=0.57:seed=17,2014,2014,17,21,27,19,0.704,26,22,0.846
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-21:alpha=1000.0:r2=0.57:seed=17,2015,2015,17,21,27,13,0.481,25,15,0.6
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-21:alpha=1000.0:r2=0.57:seed=17,2016,2016,17,21,26,17,0.654,24,20,0.833
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-21:alpha=1000.0:r2=0.57:seed=17,2017,2017,17,21,27,13,0.481,25,19,0.76
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2013,2013,1,21,267,144,0.539,246,172,0.699
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2014,2014,1,21,267,154,0.577,245,177,0.722
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2015,2015,1,21,267,143,0.536,248,170,0.685
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2016,2016,1,21,266,149,0.56,242,167,0.69
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2017,2017,1,21,267,140,0.524,245,173,0.706
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1,2013,2017,1,1,79,51,0.646,71,48,0.676
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2,2013,2017,2,2,80,35,0.438,74,50,0.676
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3,2013,2017,3,3,80,40,0.5,75,41,0.547
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4,2013,2017,4,4,74,43,0.581,65,47,0.723
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5,2013,2017,5,5,71,37,0.521,65,43,0.662
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6,2013,2017,6,6,73,36,0.493,68,49,0.721
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7,2013,2017,7,7,74,36,0.486,66,42,0.636
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8,2013,2017,8,8,68,36,0.529,62,42,0.677
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9,2013,2017,9,9,65,27,0.415,58,41,0.707
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10,2013,2017,10,10,69,42,0.609,61,47,0.77
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11,2013,2017,11,11,71,40,0.563,66,44,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12,2013,2017,12,12,77,45,0.584,71,60,0.845
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13,2013,2017,13,13,79,45,0.57,74,52,0.703
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14,2013,2017,14,14,80,52,0.65,75,56,0.747
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15,2013,2017,15,15,80,40,0.5,75,48,0.64
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16,2013,2017,16,16,80,47,0.588,75,51,0.68
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-17,2013,2017,17,17,134,78,0.582,125,98,0.784
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-1,2013,2017,1,1,79,51,0.646,71,48,0.676
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=2-2,2013,2017,2,2,80,35,0.438,74,50,0.676
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=3-3,2013,2017,3,3,80,40,0.5,75,41,0.547
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=4-4,2013,2017,4,4,74,43,0.581,65,47,0.723
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=5-5,2013,2017,5,5,71,37,0.521,65,43,0.662
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=6-6,2013,2017,6,6,73,36,0.493,68,49,0.721
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=7-7,2013,2017,7,7,74,36,0.486,66,42,0.636
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=8-8,2013,2017,8,8,68,36,0.529,62,42,0.677
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=9-9,2013,2017,9,9,65,27,0.415,58,41,0.707
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=10-10,2013,2017,10,10,69,42,0.609,61,47,0.77
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=11-11,2013,2017,11,11,71,40,0.563,66,44,0.667
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=12-12,2013,2017,12,12,77,45,0.584,71,60,0.845
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=13-13,2013,2017,13,13,79,45,0.57,74,52,0.703
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=14-14,2013,2017,14,14,80,52,0.65,75,56,0.747
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=15-15,2013,2017,15,15,80,40,0.5,75,48,0.64
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=16-16,2013,2017,16,16,80,47,0.588,75,51,0.68
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=17-17,2013,2017,17,17,134,78,0.582,125,98,0.784
Ridge,1,1,Xtrain_prevgames=32:Xtrain_years=2004-2012:Xtrain_weeks=1-21,2013,2017,1,21,1334,730,0.547,1226,859,0.701
